Varies per block?       ,1,Unit,L,2,1,2024
Varies per sequence?    ,1
# of agents             ,5
Stag,Seq.,Blck,Ethanol 1G,Ethanol 2G,SAF,Green diesel,Bio Gasoline
1,1,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,2,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,3,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,4,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,5,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,6,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,7,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,8,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,9,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,10,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,11,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,12,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,13,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,14,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,15,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,16,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,17,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,18,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,19,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,20,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,21,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,22,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,23,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,24,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,25,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,26,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,27,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,28,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,29,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,30,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,31,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,32,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,33,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,34,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,35,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,36,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,37,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,38,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,39,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,40,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,41,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,42,1,1.09478712e8,-0.0,-0.0,-0.0,-0.0
1,43,1,1.09478712e8,-0.0,-0.0,-0.0,-0.0
1,44,1,1.09478712e8,-0.0,-0.0,-0.0,-0.0
1,45,1,1.09478712e8,-0.0,-0.0,-0.0,-0.0
1,46,1,1.09478712e8,-0.0,-0.0,-0.0,-0.0
1,47,1,1.09478712e8,-0.0,-0.0,-0.0,-0.0
1,48,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,49,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,50,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,51,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,52,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,53,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,54,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,55,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,56,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,57,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,58,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,59,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,60,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,61,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,62,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,63,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,64,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,65,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,66,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,67,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,68,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,69,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,70,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,71,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,72,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,73,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,74,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,75,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,76,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,77,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,78,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,79,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,80,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,81,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,82,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,83,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,84,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,85,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,86,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,87,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,88,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,89,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,90,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,91,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,92,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,93,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,94,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,95,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,96,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,97,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,98,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,99,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,100,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,101,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,102,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,103,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,104,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,105,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,106,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,107,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,108,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,109,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,110,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,111,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,112,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,113,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,114,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,115,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,116,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,117,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,118,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,119,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,120,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,121,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,122,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,123,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,124,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,125,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,126,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,127,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,128,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,129,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,130,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,131,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,132,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,133,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,134,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,135,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,136,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,137,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,138,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,139,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,140,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,141,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,142,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,143,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,144,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,145,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,146,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,147,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,148,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,149,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,150,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,151,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,152,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,153,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,154,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,155,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,156,1,1.09e8,0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,157,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,158,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,159,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,160,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,161,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,162,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,163,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,164,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,165,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,166,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,167,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,168,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,169,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,170,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,171,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,172,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,173,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,174,1,2.1897288e8,-0.0,-0.0,-0.0,-0.0
1,175,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,176,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,177,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,178,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,179,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,180,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,181,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,182,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,183,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,184,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,185,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,186,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,187,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,188,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,189,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,190,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,191,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,192,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,193,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,194,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,195,1,1.09e8,-0.0,176183.5032,42843.6311,24919.2548
1,196,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,197,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,198,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,199,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
1,200,1,1.09e8,-0.0,4.04740371142e7,9.8423216804e6,5.7246156712e6
